# PLATE   MJD     FIBERID   Z   
5049   56103     442     0.30752242
5049   56103     448     0.28372383
6700   56384     559     0.025168467000000003
4369   55827     696     0.12872094
7613   56988     849     0.16446398
3606   55182     77     0.047743867999999995
5055   55889     1000     0.07306685
7610   56980     537     0.28633759999999997
5056   55921     1     0.0
3606   55182     116     0.29133338
3587   55182     902     0.10615051
4369   55827     743     0.0
5056   55921     36     0.13410084
4369   55827     746     0.15104872
5971   56064     324     0.26763985
3606   55182     148     0.089003585
4369   55827     758     0.28013366
5056   55921     47     0.3055123
7613   56988     913     0.02431662
5965   56190     790     0.1128647
7613   56988     936     0.17514837
7610   56980     642     0.031957503
4366   55536     514     0.09976314
7613   56988     954     0.0
3606   55182     251     0.24487366
4369   55827     820     0.01763188
7607   56902     433     0.03673087
6694   56386     147     0.11218014
4363   55537     290     0.22093952
5056   55921     144     0.15959302
4366   55536     586     0.16961629999999997
4366   55536     590     0.1952388
4363   55537     316     0.19128075
3588   55184     39     0.26905566
5052   55857     909     0.3009809
4363   55537     348     0.27596745
5056   55921     174     0.30534079999999997
7610   56980     810     0.060286928
4366   55536     678     0.28532305
5052   55857     998     0.13561253
5969   56069     360     0.27214829999999995
5049   56103     796     0.13243942
5053   56213     84     0.14959592
5053   56213     121     0.22552018
5053   56213     127     0.12724388
6694   56386     413     0.1941527
5053   56213     135     0.27030632
5966   56101     141     0.27580747
4366   55536     866     0.19646221
5053   56213     181     0.2796093
5053   56213     203     0.10970457
3588   55184     306     0.21714291
5053   56213     210     0.13750772
