# PLATE   MJD     FIBERID   Z   
6753   56399     402     0.029590247000000004
6024   56088     120     0.03339747
7613   56988     338     0.046344202
5970   56072     784     0.04617824400000001
3690   55182     296     0.06662045400000001
3615   55179     958     0.020924937
4369   55827     256     0.08479952
5970   56072     872     0.024247783999999998
3690   55182     388     0.30511109999999997
6700   56384     190     0.024407044
7613   56988     491     0.18229559
7676   57329     852     0.13385004
6024   56088     282     0.017383462
6024   56088     284     0.11691466
6700   56384     222     0.024372187000000003
3615   55208     86     0.03251593
7676   57329     896     0.24807085
3615   55208     90     0.233569
6753   56399     634     0.05568481
3615   55208     112     0.28603604
5055   55889     708     0.07982813
3615   55208     136     0.21728532
6700   56384     310     0.021842696
6024   56088     394     0.08483651
6024   56088     468     0.06970458
3615   55208     242     0.005560086
3690   55182     754     0.06434136
7677   57363     226     0.06031008400000001
3615   55208     317     0.29889983
5145   55835     372     0.22978320000000002
3615   55208     362     0.10819836
3615   55208     378     0.09554356
3615   55208     388     0.072188936
7613   56988     844     0.13715613
4423   55889     174     0.06900776
5056   55921     28     0.016193568999999998
4423   55889     218     0.04193432
3690   55182     940     0.11791418
7613   56988     913     0.02431662
6024   56088     822     0.25176314
6700   56384     634     0.19437367
7613   56988     935     0.03752686
3615   55208     511     0.04057861
4423   55889     275     0.18914798
4423   55889     288     0.20849915
7613   56988     970     0.23127136
3615   55208     532     0.113425665
4369   55827     820     0.01763188
5971   56064     420     0.03708051
3615   55208     564     0.14002302
5145   55835     623     0.21815848
7614   57307     26     0.3039304
6024   56088     940     0.033057835
3615   55208     609     0.16410875
7677   57363     543     0.12670292
3615   55208     637     0.19225479999999998
7677   57363     610     0.2614294
6025   56098     51     0.24685346
3615   55208     750     0.14889735
6700   56384     910     0.007449949599999999
6025   56098     117     0.28270233
4370   55534     72     0.043290827000000004
7677   57363     697     0.04862425
3615   55208     808     0.16452092
3691   55274     326     0.055793962999999995
6701   56367     5     0.08666275400000001
4370   55534     150     0.013111905
7614   57307     314     0.09187438
7614   57307     340     0.0262259
6025   56098     212     0.25455907
7677   57363     808     0.08494897
5056   55921     498     0.14192519
3691   55274     379     0.20307337
7614   57307     392     0.028533885
3615   55208     958     0.02094677
7677   57363     885     0.11901297
4423   55889     747     0.12017387
7614   57307     484     0.027512949
3615   55445     48     0.05446402
3615   55445     90     0.23353587
6754   56414     704     0.086183645
3615   55445     92     0.03248162
7677   57363     992     0.058471315
7677   57363     996     0.28645653
3615   55445     115     0.24524766
3691   55274     604     0.29205182
3615   55445     138     0.21726117
4423   55889     902     0.12254811
6025   56098     524     0.03313344
5056   55921     749     0.19223763
6754   56414     828     0.015406758500000001
7614   57307     630     0.08425512
3691   55274     740     0.023095576
3615   55445     250     0.0055517857
3615   55445     254     0.18438691
3615   55445     286     0.074115925
5972   56334     150     0.24871379
7678   57282     280     0.30959883
6754   56414     998     0.03057381
5972   56334     169     0.09056216
6755   56413     56     0.27144609999999997
3615   55445     350     0.20653628
3615   55445     368     0.10818357
3615   55445     372     0.09556207
3615   55445     386     0.07217658
5146   55831     554     0.060362685
7678   57282     453     0.034488723
6025   56098     884     0.25326467
7614   57307     949     0.28802514
3615   55445     513     0.040636137
3615   55445     534     0.11337551
7678   57282     568     0.08257853
3615   55445     564     0.14005351
6755   56413     316     0.023414982
4424   55532     466     0.047754806
3615   55445     609     0.16416013
5057   56209     186     0.26507542
6026   56071     60     0.027530968
