# PLATE   MJD     FIBERID   Z   
4374   55883     634     0.15406789
4374   55883     645     0.15922229999999998
4374   55883     742     0.12010382
4428   56189     98     0.08964748
4374   55883     780     0.10619356
4428   56189     152     0.048807416
7618   56898     970     0.08521319
4428   56189     224     0.20536746
5061   55806     207     0.26355118
6705   56636     804     0.21683554
6759   56416     214     0.265338
5150   56329     661     0.12656581
5061   55806     321     0.18044923
4375   55889     37     0.10325166
5150   56329     753     0.039490916
4375   55889     110     0.05308251
5061   55806     430     0.13681377
5061   55806     438     0.07470904
4375   55889     192     0.105538025
7684   57286     900     0.12628032
5151   56567     70     0.025262319
4428   56189     792     0.112831116
4428   56189     806     0.28945717
4375   55889     366     0.1076778
5151   56567     187     0.16884643
6759   56416     832     0.03031543
3696   55277     704     0.12714076
5151   56567     332     0.18221304
6706   56385     483     0.31870106
6759   56416     960     0.061970674
3647   55181     350     0.10644862
3647   55181     405     0.10629855
3647   55181     408     0.04156331
5151   56567     450     0.031368673
3696   55277     902     0.1405523
6706   56385     600     0.14843161
3696   55277     925     0.31250712
6030   56097     803     0.2649876
6030   56097     826     0.22507627
3647   55181     584     0.07409975
3647   55181     625     0.07287710000000001
5151   56567     656     0.18461582
6760   56425     246     0.29834932
5062   55803     315     0.29214847
4440   55539     412     0.29062906
5977   56098     704     0.1653801
4440   55539     564     0.13785374
3697   55290     350     0.14057639
4376   55863     358     0.17262965
4376   55863     388     0.055357027999999996
6031   56091     324     0.079416044
6031   56091     364     0.31216332
4440   55539     802     0.21343288
4440   55539     890     0.11043427
6031   56091     518     0.11787819999999999
4440   55539     973     0.31798872
3647   55241     344     0.10647308
6760   56425     949     0.079610504
6031   56091     695     0.22840571
3647   55241     406     0.041554786
3647   55241     407     0.10628419
5152   56010     471     0.31744033
7620   56904     926     0.23822682
5063   55831     116     0.031333264
5152   56010     602     0.26796934
7686   57015     466     0.2766378
6707   56383     771     0.07396661
3647   55241     627     0.07289458
3647   55241     640     0.31877986
3698   55501     131     0.2195
3647   55241     700     0.20515688
4377   55828     12     0.092751235
6032   56067     42     0.19994834
4441   55532     650     0.3008573
6780   56267     530     0.17808342
3698   55501     501     0.22711706
6708   56452     134     0.10863589
3647   55476     108     0.2858127
6780   56267     912     0.28257329999999997
6780   56267     946     0.020457452
3647   55476     348     0.106461786
5063   55831     925     0.15120487
6032   56067     780     0.008990906
3647   55476     404     0.04155509
3647   55476     409     0.10625778
4377   55828     728     0.20497388
6032   56067     850     0.21944155
4442   55532     366     0.1798308
6032   56067     960     0.059783887
6708   56452     725     0.292545
5153   56577     724     0.059391312
3647   55476     603     0.07291094
3647   55476     614     0.31903565
4377   55828     906     0.05590959
3647   55476     670     0.26942793
3699   55517     261     0.15615582
4377   55828     978     0.0962378
5153   56577     879     0.2831367
7622   56987     164     0.06406137
7622   56987     167     0.06693642
5064   55864     320     0.23503731
5979   56329     653     0.31559986
6709   56429     58     0.06199601
5064   55864     559     0.15123786
4378   55853     292     0.10974069
4378   55853     356     0.090839185
3647   55827     108     0.28579587
6780   56577     962     0.020443799999999998
6709   56429     445     0.047985133
5064   55864     894     0.06309735
6709   56429     475     0.24042223
5064   55864     899     0.16396493
6033   56069     854     0.041110272999999996
3647   55827     350     0.20651239999999998
3647   55827     352     0.10641580000000002
5154   55864     610     0.21959196
5154   55864     629     0.025298959
3647   55827     402     0.04151217
4443   55539     416     0.027117735
5065   55739     18     0.095412694
5065   55739     57     0.23332617
5065   55739     136     0.062254105
3647   55827     629     0.0729012
5065   55739     231     0.20981148
5980   56338     551     0.3113051
4379   55881     12     0.055408686
6780   56605     766     0.25469902
6034   56103     504     0.29356575
5065   55739     391     0.24750215
5065   55739     431     0.27087945
5155   55946     330     0.28822398
4379   55881     210     0.17195943
6780   56605     954     0.14184809
4379   55881     226     0.059954877999999996
4379   55881     269     0.30887893
7623   56901     509     0.21488425
4379   55881     376     0.09079395
4444   55538     298     0.17050977
3647   55945     138     0.21751498
5981   56340     128     0.20654339
7623   56901     778     0.08962764
3647   55945     357     0.29885700000000004
5065   55739     938     0.18966314
3647   55945     364     0.0415266
3647   55945     388     0.10646589
5066   55749     24     0.09707999
6710   56416     701     0.24444677
6035   56076     310     0.05936059
4379   55881     907     0.13383648
3647   55945     665     0.07291871
5981   56340     536     0.023725637999999997
7624   57039     170     0.18045051
4380   55857     80     0.09077945
6781   56274     806     0.31897268
3701   55540     709     0.24492988
5066   55749     434     0.095474474
6711   56388     146     0.29430282
3701   55540     942     0.1809315
3647   56219     106     0.28580558
4380   55857     410     0.094304465
5982   56074     32     0.04547456
6711   56388     439     0.14187466
5066   55749     883     0.09871316
4380   55857     600     0.057211682
5066   55749     900     0.15817678
3647   56219     348     0.10636455
6781   56575     411     0.21933874
3647   56219     412     0.041570835
5156   55925     989     0.11921776
7625   57011     30     0.05469014
3647   56219     621     0.072935015
3647   56219     622     0.07415252
6711   56388     788     0.30291197
6781   56575     739     0.25005442
3735   55209     626     0.11026222
